municipality,avg_daily,total_cyclists,peak_day,peak_count,start_date,end_date,active_days
Aalst,1294.9086499595796,3203604.0,2025-05-18,8777.0,2019-08-08,2026-05-16,2474
Aalter,659.7832219747587,888728.0,2023-02-22,2729.0,2022-09-07,2026-05-15,1347
Aarschot,734.3244382022472,1045678.0,2026-04-30,1662.0,2022-06-22,2026-05-15,1424
Ardooie,264.2828902522154,387703.0,2023-09-15,839.0,2022-05-10,2026-05-15,1467
As,649.141592920354,953589.0,2025-08-10,4597.0,2022-05-09,2026-05-16,1469
Asse,178.01822004204624,254032.0,2024-07-25,4914.0,2022-06-20,2026-05-16,1427
Balen,323.88111605337645,800958.0,2025-05-13,1049.0,2019-08-08,2026-05-15,2473
Beersel,126.24036440084093,180145.0,2024-03-31,1830.0,2022-06-20,2026-05-16,1427
Bertem,106.07234042553192,24927.0,2025-10-29,576.0,2025-09-24,2026-05-16,235
Beveren,472.5074393108849,603392.0,2023-07-04,1867.0,2022-09-13,2026-05-15,1277
Bilzen,269.7431604736627,660601.0,2025-06-19,962.0,2019-09-02,2026-05-16,2449
Bokrijk,326.6986394557823,480247.0,2025-05-01,1045.0,2022-05-08,2026-05-16,1470
Brasschaat,1388.60210270926,3434013.0,2025-06-27,3472.0,2019-08-08,2026-05-15,2473
Brecht,373.20915492957744,529957.0,2025-08-10,951.0,2022-06-27,2026-05-16,1420
Bree,557.2099596231494,1242021.0,2020-09-22,1628.0,2020-04-08,2026-05-15,2229
Brugge,2169.9349232012933,5368419.0,2024-06-02,15336.0,2019-08-08,2026-05-16,2474
Deinze,289.96904937361825,393488.0,2024-08-04,1206.0,2022-08-29,2026-05-16,1357
Dendermonde,2284.2963514519734,3067810.0,2024-08-29,5372.0,2022-09-11,2026-05-15,1343
Diest,544.3160511363636,766397.0,2025-09-10,1460.0,2022-07-09,2026-05-16,1408
Evergem,612.4613829357056,1514617.0,2025-05-13,1468.0,2019-08-08,2026-05-15,2473
Geel,1697.8111739745402,2400705.0,2023-06-06,3730.0,2022-07-03,2026-05-16,1414
Genk,159.12732417138238,393681.0,2024-09-22,928.0,2019-08-08,2026-05-16,2474
Gent,1814.4660468876314,4488989.0,2026-04-23,6669.0,2019-08-08,2026-05-16,2474
Gierle,247.0107438016529,298883.0,2026-03-11,1308.0,2023-01-23,2026-05-16,1210
Grimbergen,329.6988636363636,580270.0,2025-06-16,1024.0,2021-07-22,2026-05-16,1760
Hamme,449.25925925925924,594370.0,2023-08-23,2634.0,2022-10-01,2026-05-15,1323
Hasselt,5698.965998256321,6536714.0,2024-07-13,40139.0,2023-03-27,2026-05-16,1147
Heers,132.59393539881344,201145.0,2024-04-06,1677.0,2022-03-21,2026-05-15,1517
Heist op den Berg,698.5949878738884,1728324.0,2022-06-16,2293.0,2019-08-08,2026-05-16,2474
Herent,1072.940683879972,1537524.0,2025-08-20,2967.0,2022-06-14,2026-05-16,1433
Herentals,1261.0854519774011,1785697.0,2023-08-20,4135.0,2022-07-01,2026-05-16,1416
Herk De Stad,733.4209486166008,1113333.0,2025-07-19,2380.0,2022-03-21,2026-05-16,1518
Heverlee,1028.3921842288905,1473686.0,2023-10-01,2435.0,2022-06-14,2026-05-16,1433
Hoeilaart,328.74048442906576,95006.0,2025-09-21,1040.0,2025-08-01,2026-05-16,289
Houthalen-Helchteren,425.17729257641923,486828.0,2023-05-28,1730.0,2023-03-29,2026-05-16,1145
Ieper,603.8036086051353,870081.0,2023-09-08,1574.0,2022-06-06,2026-05-16,1441
Kampenhout,693.7076064200977,994083.0,2023-09-16,3682.0,2022-06-13,2026-05-15,1433
Kortrijk,1800.734438156831,4455017.0,2026-04-26,4243.0,2019-08-08,2026-05-16,2474
Lanaken,627.1879947229552,950817.0,2023-06-25,1612.0,2022-03-22,2026-05-15,1516
Leuven,7511.801952580196,10771924.0,2026-04-19,23357.0,2022-06-13,2026-05-16,1434
Lier,522.2545126353791,578658.0,2023-09-05,1318.0,2022-07-03,2025-09-05,1108
Lokeren,588.1220621683093,775733.0,2024-08-12,5961.0,2022-10-05,2026-05-15,1319
Lommel,538.6335978835979,814414.0,2024-06-26,1202.0,2022-03-27,2026-05-16,1512
Lummen,159.44100197758735,241872.0,2023-01-20,556.0,2022-03-22,2026-05-16,1517
Maaseik,866.1889554224883,1301882.0,2023-05-28,4062.0,2022-04-05,2026-05-16,1503
Maasmechelen,302.47448641484425,456434.0,2025-06-20,679.0,2022-03-29,2026-05-15,1509
Machelen,418.9135004042037,1036392.0,2022-08-28,2259.0,2019-08-08,2026-05-16,2474
Malle,343.82147937411094,483413.0,2022-09-20,843.0,2022-07-10,2026-05-15,1406
Mechelen,1676.4543524416135,2368830.0,2022-08-14,6446.0,2022-07-04,2026-05-16,1413
Melle,634.4550853749072,854611.0,2025-04-26,1510.0,2022-09-08,2026-05-16,1347
Meulebeke,168.99931833674165,247922.0,2025-03-10,1451.0,2022-05-10,2026-05-15,1467
Nevele,323.4727863525589,398195.0,2025-08-10,979.0,2023-01-01,2026-05-15,1231
Nieuwpoort,4433.029737206086,6410161.0,2025-08-15,20725.0,2022-06-01,2026-05-16,1446
Nijlen,621.8814396612562,881206.0,2022-09-02,1569.0,2022-06-30,2026-05-16,1417
Oostende,1280.2983023443817,3167458.0,2024-06-27,2761.0,2019-08-08,2026-05-16,2474
Opwijk,325.3891402714932,71911.0,2026-05-01,1131.0,2025-10-07,2026-05-15,221
Overijse,221.2349869451697,84733.0,2025-06-01,997.0,2025-04-29,2026-05-16,383
Peer,411.55195234943744,621855.0,2022-05-15,2016.0,2022-03-28,2026-05-16,1511
Pelt,468.34910059960026,702992.0,2025-05-06,1136.0,2022-04-07,2026-05-16,1501
Pepingen,252.2107843137255,360157.0,2022-10-06,4159.0,2022-06-19,2026-05-16,1428
Retie,728.9942148760331,882083.0,2025-06-19,1886.0,2023-01-23,2026-05-16,1210
Roeselare,505.7624386825508,721723.0,2025-08-15,3220.0,2022-06-20,2026-05-16,1427
St. Pieters Leeuw,92.00071123755335,129353.0,2023-03-03,863.0,2022-07-11,2026-05-16,1406
Tervuren,461.5705996131528,954528.0,2025-12-08,5320.0,2019-08-08,2026-05-09,2068
Tienen,1386.2319314005717,3394882.0,2023-09-05,2906.0,2019-09-02,2026-05-16,2449
Tongeren,122.60250494396836,185988.0,2026-04-08,317.0,2022-03-21,2026-05-15,1517
Torhout,357.3281143635126,524915.0,2025-06-20,980.0,2022-05-09,2026-05-16,1469
Vilvoorde,632.0445344129555,936690.0,2023-09-17,2677.0,2022-04-26,2026-05-16,1482
Wemmel,170.77731092436974,243870.0,2024-04-29,663.0,2022-06-19,2026-05-16,1428
Wervik,982.9098976109215,1439963.0,2023-09-06,2095.0,2022-05-13,2026-05-16,1465
Westerlo,1091.565308988764,1554389.0,2025-08-17,4185.0,2022-06-23,2026-05-16,1424
Zaventem,926.4649321266968,1637990.0,2023-09-17,2802.0,2021-07-14,2026-05-16,1768
Zele,465.4162323157111,625054.0,2024-05-19,1476.0,2022-09-12,2026-05-16,1343
Zemst,1597.3976861894432,2209201.0,2024-05-20,4211.0,2022-08-02,2026-05-15,1383
